ID,SegmentID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,day
24,70376,3rd AVENUE,East 154th Street,East 155th Street,NB,2020-10-24,321.0,197.0,138.0,79.0,76.0,64.0,87.0,145.0,245.0,289.0,430.0,469.0,485.0,548.0,582.0,642.0,568.0,577.0,540.0,449.0,398.0,386.0,335.0,295.0,2020-10-24
24,70376,3rd AVENUE,East 154th Street,East 155th Street,SB,2020-10-24,110.0,107.0,69.0,68.0,44.0,54.0,65.0,137.0,190.0,225.0,317.0,313.0,379.0,364.0,396.0,349.0,360.0,435.0,373.0,279.0,277.0,224.0,171.0,178.0,2020-10-24
39,66455,56 ROAD,43rd Street,48th Street,EB,2020-10-24,65.0,38.0,39.0,36.0,34.0,51.0,79.0,130.0,182.0,202.0,178.0,226.0,230.0,279.0,299.0,328.0,301.0,292.0,230.0,218.0,165.0,106.0,80.0,116.0,2020-10-24
39,66455,56 ROAD,43rd Street,48th Street,WB,2020-10-24,47.0,39.0,69.0,38.0,59.0,129.0,211.0,295.0,333.0,287.0,300.0,308.0,340.0,335.0,327.0,255.0,202.0,166.0,200.0,155.0,169.0,101.0,77.0,84.0,2020-10-24
98,87459,BOSTON ROAD,Bronx Park East,Pelham Parkway South,NB,2020-10-24,264.0,153.0,107.0,85.0,83.0,119.0,222.0,358.0,443.0,437.0,510.0,702.0,838.0,975.0,636.0,599.0,638.0,848.0,843.0,714.0,581.0,471.0,410.0,300.0,2020-10-24
98,87459,BOSTON ROAD,Bronx Park East,Pelham Parkway South,SB,2020-10-24,193.0,124.0,94.0,80.0,66.0,73.0,123.0,225.0,316.0,365.0,467.0,534.0,646.0,688.0,840.0,721.0,810.0,750.0,769.0,707.0,540.0,371.0,326.0,257.0,2020-10-24
131,145398,CROSS BAY BOULEVARD,165th Avenue,East 6th Rd,SB,2020-10-24,194.0,169.0,102.0,66.0,85.0,118.0,208.0,264.0,323.0,413.0,510.0,556.0,668.0,655.0,761.0,739.0,707.0,726.0,620.0,620.0,523.0,514.0,408.0,330.0,2020-10-24
135,73096,DR M L KING JR BOULEVARD,West 183rd Street,University Avenue,NB,2020-10-24,256.0,214.0,158.0,135.0,114.0,127.0,149.0,196.0,272.0,371.0,368.0,437.0,499.0,575.0,548.0,578.0,671.0,614.0,554.0,562.0,589.0,465.0,405.0,364.0,2020-10-24
135,73096,DR M L KING JR BOULEVARD,West 183rd Street,University Avenue,SB,2020-10-24,237.0,94.0,129.0,116.0,82.0,121.0,95.0,183.0,275.0,333.0,328.0,448.0,500.0,564.0,585.0,556.0,600.0,583.0,542.0,560.0,494.0,383.0,309.0,284.0,2020-10-24
140,9008556,EAST 135th STREET,St Ann's Avenue,Cypress Avenue,WB,2020-10-24,124.0,153.0,107.0,104.0,88.0,92.0,135.0,88.0,142.0,146.0,213.0,256.0,277.0,289.0,340.0,303.0,289.0,247.0,223.0,234.0,267.0,189.0,184.0,121.0,2020-10-24
