ID,SegmentID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,day
100,8152,BRIELLE AVENUE,Suffolk Avenue,Livingston Avenue,EB,2020-10-09,11.0,4.0,6.0,5.0,6.0,16.0,66.0,175.0,115.0,90.0,114.0,126.0,170.0,187.0,215.0,204.0,180.0,187.0,165.0,132.0,91.0,59.0,46.0,40.0,2020-10-09
100,8152,BRIELLE AVENUE,Suffolk Avenue,Livingston Avenue,WB,2020-10-09,14.0,5.0,10.0,2.0,5.0,9.0,45.0,104.0,111.0,107.0,135.0,143.0,152.0,176.0,305.0,414.0,382.0,320.0,228.0,119.0,74.0,46.0,37.0,37.0,2020-10-09
102,147673,BROADWAY,Van Cortlandt Park South,West 242nd Street,SB,2020-10-09,102.0,58.0,40.0,37.0,44.0,112.0,226.0,361.0,380.0,322.0,310.0,341.0,356.0,419.0,458.0,544.0,469.0,460.0,425.0,343.0,294.0,241.0,186.0,160.0,2020-10-09
102,255653,BROADWAY,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,SB,2020-10-09,51.0,39.0,19.0,21.0,29.0,67.0,104.0,117.0,174.0,128.0,143.0,148.0,143.0,191.0,205.0,218.0,187.0,190.0,196.0,111.0,104.0,105.0,76.0,64.0,2020-10-09
102,158447,BROADWAY,West 242nd Street,Van Cortlandt Park South,NB,2020-10-09,143.0,85.0,49.0,57.0,69.0,159.0,322.0,416.0,515.0,441.0,435.0,478.0,575.0,636.0,711.0,773.0,723.0,683.0,730.0,554.0,481.0,414.0,304.0,241.0,2020-10-09
109,221955,BROADWAY,West 260th Street,West 261st Street,NB,2020-10-09,229.0,134.0,98.0,74.0,74.0,117.0,218.0,409.0,431.0,451.0,419.0,433.0,479.0,460.0,638.0,647.0,751.0,740.0,740.0,658.0,599.0,486.0,371.0,383.0,2020-10-09
109,221955,BROADWAY,West 260th Street,West 261st Street,SB,2020-10-09,138.0,96.0,86.0,98.0,118.0,228.0,432.0,601.0,578.0,475.0,437.0,508.0,487.0,547.0,614.0,681.0,651.0,628.0,570.0,461.0,382.0,319.0,272.0,272.0,2020-10-09
112,9003976,BURKE AVENUE,Yates Avenue,Bouck Avenue,EB,2020-10-09,86.0,40.0,20.0,26.0,25.0,53.0,91.0,163.0,147.0,158.0,140.0,176.0,189.0,225.0,205.0,255.0,247.0,215.0,198.0,182.0,159.0,133.0,102.0,74.0,2020-10-09
112,9003976,BURKE AVENUE,Yates Avenue,Bouck Avenue,WB,2020-10-09,32.0,19.0,9.0,10.0,10.0,28.0,61.0,132.0,153.0,126.0,142.0,157.0,182.0,210.0,243.0,293.0,256.0,258.0,258.0,214.0,169.0,121.0,74.0,75.0,2020-10-09
114,9002977,CALHOUN AVENUE,East 177th Street,Dewey Avenue,NB,2020-10-09,14.0,2.0,1.0,3.0,1.0,2.0,3.0,10.0,16.0,9.0,8.0,12.0,18.0,13.0,28.0,27.0,33.0,17.0,33.0,23.0,41.0,21.0,18.0,13.0,2020-10-09
114,9002977,CALHOUN AVENUE,East 177th Street,Dewey Avenue,SB,2020-10-09,26.0,20.0,8.0,12.0,7.0,14.0,20.0,62.0,67.0,60.0,64.0,82.0,72.0,79.0,78.0,102.0,87.0,91.0,94.0,77.0,79.0,74.0,52.0,34.0,2020-10-09
125,160467,CLOVE ROAD,Narrows Road North,Staten Island Expressway,NB,2020-10-09,120.0,47.0,32.0,71.0,83.0,151.0,284.0,470.0,602.0,591.0,641.0,518.0,564.0,670.0,664.0,582.0,515.0,545.0,550.0,536.0,405.0,326.0,209.0,172.0,2020-10-09
125,160467,CLOVE ROAD,Narrows Road North,Staten Island Expressway,SB,2020-10-09,118.0,70.0,43.0,52.0,134.0,379.0,653.0,850.0,752.0,607.0,610.0,614.0,638.0,679.0,695.0,617.0,491.0,570.0,536.0,497.0,376.0,374.0,312.0,337.0,2020-10-09
139,95624,DYRE AVENUE,Lustre Street,West Kingsbridge Road,NB,2020-10-09,58.0,23.0,13.0,10.0,21.0,50.0,76.0,148.0,178.0,159.0,150.0,194.0,219.0,217.0,251.0,305.0,334.0,307.0,279.0,235.0,216.0,150.0,117.0,103.0,2020-10-09
139,95624,DYRE AVENUE,Lustre Street,West Kingsbridge Road,SB,2020-10-09,53.0,25.0,21.0,17.0,37.0,103.0,192.0,243.0,263.0,241.0,223.0,236.0,269.0,267.0,294.0,303.0,381.0,367.0,340.0,252.0,200.0,168.0,150.0,104.0,2020-10-09
156,89015,EAST 233rd STREET,Metro North Harlem Line,Bronx River Shoreline,EB,2020-10-09,367.0,183.0,147.0,119.0,131.0,244.0,525.0,921.0,929.0,690.0,742.0,765.0,854.0,903.0,1160.0,1259.0,1260.0,1273.0,1209.0,1159.0,1033.0,858.0,638.0,684.0,2020-10-09
156,89015,EAST 233rd STREET,Metro North Harlem Line,Bronx River Shoreline,WB,2020-10-09,273.0,192.0,117.0,123.0,194.0,473.0,771.0,1024.0,964.0,906.0,814.0,873.0,876.0,985.0,1108.0,1146.0,1048.0,1001.0,999.0,870.0,724.0,560.0,525.0,486.0,2020-10-09
157,89278,EAST 241st STREET,Carpenter Avenue,Matilda Avenue,EB,2020-10-09,136.0,53.0,49.0,38.0,44.0,96.0,211.0,485.0,454.0,395.0,341.0,363.0,394.0,468.0,556.0,505.0,760.0,729.0,687.0,508.0,436.0,301.0,236.0,255.0,2020-10-09
157,89278,EAST 241st STREET,Carpenter Avenue,Matilda Avenue,WB,2020-10-09,112.0,69.0,61.0,56.0,62.0,115.0,225.0,328.0,328.0,293.0,276.0,335.0,344.0,409.0,445.0,457.0,556.0,479.0,445.0,406.0,305.0,280.0,213.0,185.0,2020-10-09
159,133279,EAST FORDHAM ROAD,Bronx River Shoreline,Pelham Parkway,EB,2020-10-09,601.0,353.0,240.0,241.0,319.0,535.0,964.0,1417.0,1530.0,1540.0,1603.0,1708.0,1751.0,1980.0,2435.0,2350.0,2569.0,2559.0,2323.0,1949.0,1787.0,1520.0,1202.0,1111.0,2020-10-09
162,88518,EASTCHESTER ROAD,Givan Avenue,Tillotson Avenue,NB,2020-10-09,86.0,46.0,32.0,24.0,31.0,57.0,114.0,287.0,301.0,273.0,310.0,331.0,438.0,413.0,477.0,558.0,561.0,561.0,439.0,433.0,313.0,226.0,189.0,184.0,2020-10-09
162,88518,EASTCHESTER ROAD,Givan Avenue,Tillotson Avenue,SB,2020-10-09,84.0,43.0,29.0,28.0,33.0,66.0,163.0,248.0,290.0,251.0,242.0,295.0,325.0,375.0,403.0,402.0,437.0,484.0,441.0,301.0,257.0,220.0,173.0,143.0,2020-10-09
164,226748,EDSON AVENUE,New England Thruway/ Edson Avenue,Bartow Avenue,SB,2020-10-09,148.0,105.0,79.0,86.0,131.0,306.0,535.0,667.0,642.0,559.0,646.0,705.0,812.0,777.0,876.0,794.0,814.0,876.0,804.0,849.0,639.0,451.0,364.0,275.0,2020-10-09
165,154911,ESPLANADE,Hone Avenue,Lurting Avenue,NB,2020-10-09,15.0,6.0,3.0,2.0,5.0,18.0,25.0,40.0,72.0,30.0,21.0,18.0,29.0,30.0,39.0,47.0,50.0,51.0,51.0,55.0,43.0,27.0,23.0,24.0,2020-10-09
165,154664,ESPLANADE,Hone Avenue,Lurting Avenue,SB,2020-10-09,6.0,11.0,8.0,4.0,9.0,31.0,28.0,69.0,85.0,40.0,33.0,21.0,32.0,33.0,29.0,45.0,42.0,53.0,47.0,52.0,43.0,24.0,36.0,28.0,2020-10-09
256,19259,NEPTUNE AVENUE,West 12th Street,West End/ Sea Beach Line,EB,2020-10-09,89.0,54.0,34.0,34.0,40.0,109.0,275.0,305.0,445.0,407.0,406.0,440.0,489.0,511.0,524.0,602.0,521.0,516.0,505.0,358.0,267.0,179.0,170.0,107.0,2020-10-09
256,19259,NEPTUNE AVENUE,West 12th Street,West End/ Sea Beach Line,WB,2020-10-09,42.0,29.0,21.0,17.0,26.0,44.0,117.0,246.0,289.0,321.0,356.0,339.0,364.0,379.0,381.0,490.0,449.0,446.0,392.0,250.0,144.0,85.0,70.0,70.0,2020-10-09
273,120618,POLY PLACE,7th Avenue,Cropsey Avenue,EB,2020-10-09,52.0,34.0,20.0,16.0,21.0,58.0,197.0,375.0,301.0,292.0,287.0,346.0,378.0,373.0,416.0,434.0,414.0,370.0,361.0,261.0,188.0,173.0,137.0,117.0,2020-10-09
273,120618,POLY PLACE,7th Avenue,Cropsey Avenue,WB,2020-10-09,47.0,36.0,24.0,16.0,34.0,76.0,162.0,203.0,196.0,265.0,240.0,211.0,236.0,256.0,251.0,270.0,269.0,313.0,298.0,215.0,191.0,99.0,103.0,95.0,2020-10-09
277,192425,PROVOST AVENUE,East 233rd Street,East Kingsbridge Road,NB,2020-10-09,60.0,76.0,43.0,42.0,77.0,154.0,251.0,330.0,421.0,444.0,466.0,515.0,538.0,559.0,570.0,654.0,629.0,614.0,506.0,410.0,304.0,226.0,182.0,149.0,2020-10-09
