ID,SegmentID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,day
17,96671,188 Street,Rio Drive,Henley Road,NB,2019-09-21,227.0,167.0,130.0,112.0,128.0,213.0,320.0,415.0,536.0,586.0,556.0,613.0,603.0,704.0,659.0,668.0,617.0,546.0,606.0,600.0,470.0,466.0,399.0,363.0,2019-09-21
17,96671,188 Street,Rio Drive,Henley Road,SB,2019-09-21,286.0,194.0,176.0,109.0,74.0,125.0,140.0,273.0,372.0,359.0,431.0,423.0,491.0,490.0,477.0,551.0,629.0,480.0,502.0,487.0,414.0,445.0,369.0,422.0,2019-09-21
23,117242,200 Street,36 Avenue,Francis Lewis Boulevard,NB,2019-09-21,20.0,23.0,7.0,5.0,13.0,7.0,8.0,20.0,33.0,80.0,87.0,70.0,72.0,84.0,72.0,72.0,104.0,100.0,100.0,77.0,52.0,48.0,41.0,34.0,2019-09-21
27,98876,26 Avenue,201 Street,202 Street,EB,2019-09-21,36.0,22.0,10.0,7.0,11.0,23.0,58.0,127.0,239.0,278.0,336.0,395.0,421.0,432.0,380.0,404.0,397.0,325.0,294.0,248.0,152.0,152.0,110.0,72.0,2019-09-21
27,98876,26 Avenue,201 Street,202 Street,WB,2019-09-21,49.0,25.0,9.0,9.0,11.0,18.0,65.0,125.0,226.0,272.0,324.0,359.0,468.0,379.0,415.0,393.0,414.0,363.0,316.0,285.0,186.0,144.0,94.0,90.0,2019-09-21
40,97492,35 Avenue,Francis Lewis Boulevard,200 Street,EB,2019-09-21,67.0,40.0,25.0,21.0,19.0,36.0,61.0,169.0,199.0,342.0,396.0,416.0,402.0,416.0,372.0,374.0,365.0,361.0,330.0,319.0,231.0,158.0,143.0,94.0,2019-09-21
40,97492,35 Avenue,Francis Lewis Boulevard,200 Street,WB,2019-09-21,94.0,53.0,35.0,26.0,30.0,47.0,95.0,196.0,314.0,445.0,483.0,502.0,505.0,498.0,512.0,490.0,451.0,424.0,422.0,432.0,260.0,169.0,182.0,121.0,2019-09-21
41,97525,35 Avenue,203 Street,204 Street,EB,2019-09-21,89.0,47.0,35.0,31.0,29.0,48.0,87.0,236.0,216.0,376.0,485.0,494.0,513.0,540.0,452.0,458.0,451.0,451.0,405.0,382.0,312.0,215.0,186.0,106.0,2019-09-21
41,97525,35 Avenue,203 Street,204 Street,WB,2019-09-21,84.0,48.0,29.0,19.0,34.0,33.0,104.0,221.0,168.0,401.0,432.0,450.0,434.0,433.0,475.0,451.0,435.0,389.0,410.0,401.0,268.0,140.0,166.0,128.0,2019-09-21
42,21331,37 Street,12 Avenue,13 Avenue,EB,2019-09-21,40.0,34.0,29.0,22.0,18.0,27.0,39.0,49.0,75.0,89.0,66.0,123.0,130.0,104.0,106.0,134.0,137.0,119.0,136.0,191.0,154.0,136.0,130.0,70.0,2019-09-21
43,21327,39 Street,12 Avenue,13 Avenue,EB,2019-09-21,35.0,24.0,21.0,17.0,10.0,26.0,27.0,45.0,46.0,61.0,88.0,61.0,80.0,91.0,100.0,110.0,107.0,109.0,122.0,139.0,134.0,106.0,84.0,74.0,2019-09-21
43,21327,39 Street,12 Avenue,13 Avenue,WB,2019-09-21,38.0,23.0,22.0,18.0,26.0,33.0,39.0,54.0,52.0,63.0,82.0,72.0,80.0,72.0,87.0,88.0,87.0,77.0,144.0,116.0,102.0,84.0,93.0,62.0,2019-09-21
47,97302,45 Avenue,192 Street,193 Street,WB,2019-09-21,8.0,12.0,4.0,3.0,5.0,10.0,9.0,25.0,55.0,61.0,79.0,92.0,95.0,77.0,88.0,90.0,86.0,95.0,113.0,64.0,48.0,42.0,33.0,29.0,2019-09-21
47,97302,45 Avenue,192 Street,193 Street,EB,2019-09-21,27.0,11.0,9.0,9.0,11.0,14.0,21.0,58.0,106.0,129.0,114.0,135.0,141.0,123.0,147.0,134.0,178.0,117.0,117.0,110.0,76.0,54.0,47.0,45.0,2019-09-21
49,21164,49 Street,12 Avenue,13 Avenue,WB,2019-09-21,84.0,54.0,45.0,18.0,36.0,28.0,35.0,86.0,76.0,175.0,237.0,210.0,242.0,237.0,225.0,249.0,232.0,224.0,165.0,162.0,154.0,146.0,135.0,108.0,2019-09-21
55,28923,5 Avenue,Douglass Street,De Graw Street,NB,2019-09-21,145.0,127.0,92.0,63.0,43.0,51.0,83.0,122.0,206.0,239.0,259.0,282.0,272.0,305.0,311.0,292.0,299.0,290.0,267.0,268.0,231.0,201.0,207.0,151.0,2019-09-21
56,21148,50 Street,New Utecht Avenue,13 Avenue,EB,2019-09-21,133.0,47.0,26.0,25.0,32.0,32.0,44.0,93.0,130.0,170.0,206.0,204.0,186.0,190.0,230.0,192.0,211.0,230.0,199.0,192.0,177.0,142.0,130.0,139.0,2019-09-21
63,19805,60 Street,11 Avenue,12 Avenue,EB,2019-09-21,125.0,108.0,57.0,66.0,60.0,55.0,62.0,128.0,203.0,198.0,200.0,257.0,248.0,309.0,260.0,266.0,281.0,270.0,282.0,226.0,165.0,129.0,55.0,64.0,2019-09-21
63,19805,60 Street,11 Avenue,12 Avenue,WB,2019-09-21,80.0,34.0,46.0,24.0,47.0,39.0,66.0,137.0,193.0,233.0,221.0,253.0,284.0,239.0,244.0,223.0,217.0,224.0,238.0,184.0,166.0,223.0,178.0,153.0,2019-09-21
65,81815,63 Drive,Wetherole St.,Booth Street,NB,2019-09-21,93.0,65.0,50.0,37.0,43.0,49.0,120.0,181.0,272.0,376.0,339.0,370.0,386.0,422.0,417.0,413.0,409.0,398.0,404.0,345.0,322.0,262.0,217.0,207.0,2019-09-21
65,81815,63 Drive,Wetherole St.,Booth Street,SB,2019-09-21,55.0,30.0,22.0,18.0,28.0,12.0,32.0,55.0,95.0,127.0,150.0,169.0,193.0,206.0,216.0,228.0,227.0,226.0,234.0,209.0,189.0,132.0,132.0,95.0,2019-09-21
66,19566,65 Street,10 Avenue,11 Avenue,EB,2019-09-21,457.0,289.0,223.0,198.0,169.0,168.0,239.0,333.0,464.0,576.0,510.0,638.0,717.0,738.0,717.0,888.0,845.0,794.0,1026.0,882.0,699.0,872.0,776.0,659.0,2019-09-21
66,19566,65 Street,10 Avenue,11 Avenue,WB,2019-09-21,166.0,124.0,99.0,139.0,171.0,331.0,544.0,806.0,880.0,806.0,723.0,759.0,674.0,688.0,729.0,789.0,671.0,752.0,672.0,633.0,513.0,412.0,392.0,291.0,2019-09-21
67,20157,65 Street,18 Avenue,19 Avenue,EB,2019-09-21,291.0,174.0,128.0,120.0,79.0,126.0,131.0,248.0,351.0,474.0,582.0,606.0,576.0,670.0,577.0,628.0,655.0,752.0,801.0,775.0,615.0,597.0,528.0,378.0,2019-09-21
67,20157,65 Street,18 Avenue,19 Avenue,WB,2019-09-21,197.0,124.0,98.0,95.0,77.0,117.0,222.0,368.0,595.0,615.0,643.0,662.0,847.0,599.0,627.0,627.0,552.0,504.0,564.0,502.0,445.0,421.0,332.0,347.0,2019-09-21
71,96615,73 Avenue,194 Street,195 Street,WB,2019-09-21,42.0,19.0,12.0,9.0,5.0,10.0,40.0,84.0,171.0,224.0,264.0,317.0,355.0,315.0,340.0,332.0,335.0,288.0,280.0,217.0,177.0,125.0,101.0,79.0,2019-09-21
71,96615,73 Avenue,194 Street,195 Street,EB,2019-09-21,26.0,13.0,6.0,7.0,7.0,5.0,27.0,89.0,162.0,186.0,211.0,218.0,244.0,273.0,245.0,250.0,214.0,233.0,233.0,179.0,127.0,103.0,79.0,57.0,2019-09-21
